video,SNR,Noise,Lip Movement,Process time,Text output,flag,username,timestamp
C:\Pera\faks\AV-HuBERT-S2S\flagged\video\8fdbbea02187cb214151196696dc99a76f658ceb\s2_v1_c1.mp4,0,party,,,,,,2025-11-16 20:17:42.260528
C:\Pera\faks\AV-HuBERT-S2S\flagged\video\91a843ceaf325c8ce6ca341a04b4ecb65ff97af2\s1_v2_c1.mp4,10,party,,,,,,2025-11-16 22:57:40.944051
,-20,,,,,,,2025-11-17 10:02:32.697614
C:\Pera\faks\AV-HuBERT-S2S\flagged\video\e08ebd101eb5ccc2d3fa51c5bdcf5a4dcb710539\00001.mp4,-5,music,,,,,,2025-11-19 11:40:30.484010
